x_1,x_2,y
-185135701111603.2,35653935326822.4,0
571558450325094.4,-84842408155545.6,1
517593125774950.4,-123153769771827.19,1
596611705916620.8,-177871418241843.2,1
420734533264998.4,-117559338310041.6,1
681541301908275.1,-185233482081894.38,1
602813363545702.4,-188950638703411.2,1
-20683552509132.797,-110145107394560.0,0
-223245605273600.0,83207377859379.19,0
-122364980572979.19,82943747398041.6,0
-187520976630579.2,170266229053849.6,0
460558094145945.56,-26728262637977.598,1
-230245576527052.78,37948335377612.8,0
643291537840537.5,-95073250102476.8,1
-15505858704179.2,84887869377740.8,0
-170560769857945.6,155483827391692.78,0
362878780361932.75,-228460457256550.38,1
631259569481318.4,-123762804523007.98,1
-207041703654195.2,132482692074700.8,0
-169628691490406.38,56325432567398.4,0
24750775808819.2,79863881714892.8,0
555747199313510.4,-202703333700403.2,1
-55156676336025.59,150311394921676.78,0
-122018166996992.0,291918662808371.2,0
218610134312550.38,138022055680409.6,0
616418611979878.4,-79587755583078.39,1
468233912057856.0,-86697750980198.39,1
544181939548979.2,-163452483220275.2,1
384716021484748.75,-93947629771161.6,1
775082857621094.4,70136571835187.195,1
-236814024363212.78,186414135037132.78,0
-16734232143462.398,152079966824038.38,0
-22635152513433.598,31616941214924.797,0
-223983930284441.6,131002166516121.6,0
371526700367872.0,-198776663205478.38,1
470092196767334.4,-177239459102720.0,1
549394278304972.75,-42520426630348.8,1
-160225347135078.38,79158211038412.8,0
592307464175616.0,-185437135673753.6,1
-97343510256025.6,146444325486592.0,0
-235037384297676.78,220374584052940.78,0
461440307272089.56,-63512351499878.4,1
510951723892735.94,-70029325159628.8,1
-218452411704934.38,183072788054016.0,0
-90132451426304.0,142408963797811.2,0
-170985352540979.2,279815431546470.38,0
-47295205526732.8,195752616997683.2,0
-68394018878259.195,223721051442380.78,0
22662977106739.2,188644541752934.38,0
-218686423669145.6,220050495216025.6,0
-30177411203072.0,103056069256806.39,1
774676607401984.0,-110521562955776.0,1
496422594438758.4,-53147644985344.0,1
-254225566767513.6,43861550301184.0,0
431521773125632.0,-265538987098111.97,1
658853955895296.0,-184900726135193.6,1
564200426438656.0,-233358266833305.6,1
486234019332096.0,-76125897018572.8,1
599448974734131.1,-191083734210969.6,1
-134536984998707.19,73148644982784.0,0
-166264020821606.38,186018994690457.6,0
606913211819622.4,-146920112232857.6,1
458555169701888.0,-165944899718348.78,1
522794660003839.94,-55586044719923.195,1
607602164839219.1,-202388522663936.0,1
54837091342745.59,233001482557849.6,0
535212490909286.4,-224820999277772.78,1
633620170748723.1,-20493254839500.797,1
503308084681113.56,-205428117995520.0,1
621831586106572.8,46444545730150.4,1
-226740353053491.2,195458968741478.38,0
540723786232627.2,-17563922936627.2,1
-32432386473983.996,102448749137100.8,0
500411109107302.4,-103110338517401.6,1
-92903659955814.39,96401431828889.6,0
-114564264676556.8,73047006091673.6,0
-204940411037286.38,185160575012044.78,0
-169342148385177.6,-14442333575577.6,0
-195494177406976.0,70094328483020.8,0
-23733689594675.2,187713485117849.6,0
363063490799206.4,-258963727712255.97,1
423760552473395.2,-114281280018841.6,1
-150962954882252.78,-44360531548569.59,0
506790665623961.56,-24402936096358.4,1
422297807408332.75,-140824174552678.4,1
710523224483430.4,-97214278716620.8,1
-55486995392102.4,71949800492236.8,0
-128687308328140.8,108609173402419.19,0
-98193767818854.39,123246477311999.98,0
41058345104179.195,191623913589964.78,0
-179039187972915.2,326654818149990.4,0
28392758758604.797,112944924432793.6,0
-329297229669990.4,60369602294579.195,0
-132760685510655.98,85533580800819.19,0
-117187239791820.8,216441571770368.0,0
418909460732313.56,-162117231575040.0,1
-177262923717017.6,19084536813977.598,0
-121355767277158.39,96183550319001.6,0
442102787447193.56,-171538720489472.0,1
-116922646318284.8,172606783225856.0,0
577490323610009.6,32534360070553.598,1
664716821135360.0,-12537273778176.0,1
470625000882176.0,-72631983066316.8,1
-89484438169190.39,180891072174489.6,0
603797984798310.4,-61932647428915.195,1
427225752220467.2,-142435223496294.4,1
516709080576819.2,20811760848076.797,1
-27676950029926.4,150386122319462.38,0
318627900083404.75,-123185760567295.98,1
625556752171008.0,-112437722349568.0,1
540065085888921.56,-118489185307852.8,1
-14230946526003.2,182750789658214.38,0
560336022903193.56,-145556310799155.2,1
-167371343921152.0,76358981202739.19,0
-172917589540864.0,141198598393036.78,0
2104782251622.4,147889513195110.38,0
629992621237862.4,-19094698354278.4,1
601608048082944.0,7091147662950.399,1
500735385849036.75,150825361578393.6,1
536727050728243.2,-133745882221772.8,1
13413340361523.2,203247975818854.38,0
-102938299911372.8,157327737382502.38,0
590606549752217.6,-112903538396364.8,1
-121980797426073.6,-36371391158681.6,0
-187322784022528.0,134710432890879.98,0
-269828854120447.97,126029793958297.6,0
517828147727564.75,-21878674135449.598,1
380693965805977.56,-141375369851699.2,1
603763598216396.8,-50268913795072.0,1
605259602434457.5,-165210802565939.2,0
629829097068953.5,-67622123497062.4,1
567235371125964.8,-108472261253529.6,1
451715434283008.0,-124584336136601.6,0
-169464063380684.78,71425358141849.6,0
-98066861601587.19,138859324322611.19,0
-207602763956224.0,62109912137727.99,0
