x_1,x_2,y
-39284188905472.0,-16825690410188.799,1
35306704837017.6,-164299428960665.6,0
-476844932254924.75,500501632253951.94,1
-25197064434483.2,35272297703014.4,0
24744536781619.2,-259729956588748.78,1
-136669563768012.8,-225831152097689.6,0
30530055700480.0,-175916855800627.2,0
119107685764300.8,-348801820367257.56,1
-464851907169484.75,662270864103833.5,1
-49144767342182.4,-120700202595123.19,0
-41525649709465.59,17356766681497.6,0
-158640193824358.38,-237983238612582.38,1
60599421632512.0,-213855649136640.0,0
-154964258822553.6,-252371392475955.2,0
-24862311999078.4,-302528379591065.56,1
36009595109376.0,-214662676847001.6,1
-14378034895257.6,-203926406168576.0,0
-647406700357222.4,610951427312844.8,1
41227412465254.4,-211928262429900.78,1
-50941337062604.8,-144522423251763.2,1
-78625794477260.8,-99748110611251.19,1
-629566380441.6,-117532174319616.0,0
-50871565654425.59,-230421737295052.78,0
-43473336008704.0,-101148224651264.0,1
-125573737218047.98,-202458634649600.0,0
79034939604992.0,-150710610454118.38,1
42335622240665.59,-49491087668019.195,0
-196102484026982.38,381934583886643.2,1
-107836050767872.0,-158075011360358.38,0
-98089827093708.8,-93008046954905.6,0
17637004699238.4,-176658292985036.78,1
-74056466012569.6,-237683553914060.78,0
230071224342937.6,-211681684330905.6,1
-112091965738188.8,-242409007795404.78,1
28527013815910.4,-107734406004736.0,0
-115901501066444.8,-117512479545753.6,0
101787230221107.19,-115419090675302.39,1
-47206443987763.195,-239786889995878.38,1
-520280634451558.4,493534967129702.4,0
75999114113843.19,-96105904524492.8,0
170146651124531.2,-86394942364057.6,0
-1853975864069324.8,-145288605152051.2,1
-56149248311296.0,-96105064824832.0,1
231604480691404.78,-44586921623552.0,0
-106617523247513.6,-403765083924070.4,0
-49853385775513.59,-119775534723891.19,0
-76166055801651.19,-84847957219737.6,0
-120167445456486.39,529594841458278.4,1
-19810009428787.2,-57789463606067.195,1
-355665349233868.75,298660852137984.0,1
-191937796846387.2,-244054396344729.6,0
-52681623417651.195,-78418717494476.8,0
143191880971059.2,-44920053379891.195,1
-489610997766553.56,423787845648384.0,1
3990287286271.9995,-198791413733785.6,1
-358847118049280.0,565096027783168.0,0
-1785883479402086.2,-16009998526054.398,1
-1212190136729.5999,-223171429846220.78,0
238081959106969.6,-236342524195635.2,1
-451153363992576.0,331356079285862.4,1
233964894053990.38,-122315972647321.6,1
-16502011147059.2,-275299444562329.6,0
-70977040731340.8,-194949182966988.78,0
-20961205367603.2,-242019997843456.0,0
-1966041734525747.0,-241229952031129.6,1
22864594573721.598,-90064400521625.6,1
-40242562203648.0,-293528607811174.4,0
-126167492958617.6,-263192713573171.2,1
44963708954214.4,-198059641903513.6,0
-56605945102336.0,-231215963989606.38,0
-98673036676300.8,-132625487993241.6,1
-366960331404083.2,369734299785625.56,1
-549115709410508.75,743549140624998.4,1
-348466034455347.2,560153708252364.75,0
-52317786839449.59,-244489489953587.2,1
-325691876415897.56,506334949461196.75,1
-113548615640678.39,-191794989183795.2,0
147026701241548.78,-44562300220211.195,0
30646724041113.598,-284161012347699.2,1
25879989819801.598,-161349769573171.2,0
-298515836593766.4,415811661882982.4,1
235416599710924.78,-160590129109401.6,1
-188614970232012.78,-57337758036787.195,0
48212868071424.0,-321812017709056.0,0
-219358230373990.38,-223740945865113.6,1
-134310066441420.8,27699525032345.598,1
-19599674939801.598,-195374775638425.6,1
-157274149276876.78,-190261063424409.6,1
-76715248739942.39,-301562877653811.2,1
-87337596249702.39,-20636099202252.797,0
-37258624866713.59,-118406378002841.6,0
-133339291425177.6,-82497097642803.19,1
67036077726105.59,-30341813239808.0,0
-110729726263296.0,-158745937261363.2,1
-796675282252595.1,653476542755635.1,1
-426809824903168.0,591636268161433.5,0
-148481742209024.0,-200140311966515.2,0
-1592202466059878.2,-104430874866483.19,0
-39857307412070.4,-69550960594124.8,0
-454943826981683.2,549023495120486.4,1
90315124270694.39,-125845576771174.39,1
72305357514342.39,-160497304128716.78,0
-264363571989708.78,470028966795673.56,1
-14387531428659.2,-94170261749760.0,0
-408355175871283.2,346783746097152.0,1
-138313496054988.8,-59096529528422.4,1
55749739177574.4,-136705430100377.6,0
-65780251099135.99,-298135000501452.75,1
97802056735129.6,-163725133112934.38,1
-264193729521254.38,311634106200883.2,1
-328763039757107.2,415975186051891.2,0
-120299894865920.0,-80758020925030.39,0
-401598541358694.4,543146677947596.75,1
-77045867269324.8,-170974583246028.78,1
-66755359670271.99,-88520316157952.0,1
-297377978961100.75,650378696930099.1,1
76478582620160.0,-125134039941119.98,0
-31691783117209.598,-241947419607040.0,0
-45926448103424.0,-158345136282009.6,0
187533272652185.6,-234479001639321.6,1
-170130491310080.0,-37368875083366.4,1
-149354289981030.38,-191512086734438.38,1
-276271687584972.78,-323231850011033.56,0
-7630941690265.6,-184202260434124.78,0
-28162507826790.4,-117531516652748.8,0
-104263815738163.19,-107260005056512.0,0
-52553619131596.8,-329882130395955.2,1
-183365567250432.0,-291614022120243.2,0
4786206959206.399,-233026755756032.0,0
-18209016329011.2,-131212655145779.19,0
-257640361046835.2,-197924021600256.0,0
-104495244011110.39,-201328222745395.2,1
-8830357969305.6,-304208084257996.75,0
137552140959743.98,-69188368885350.4,1
-2374996354662.4,-164758433457766.38,0
-72237788115763.2,-200452656752230.38,0
5049402523648.0,-237789673160704.0,1
-121543542911795.19,-21410443218124.797,1
-12724663327129.6,-237939104468172.78,0
-424962767506636.75,520635492702617.56,1
-17036663481958.398,-339046318892646.4,1
56416284547481.59,-152424877863731.2,0
-928985642119987.1,741888062023270.4,1
18145733509120.0,-155008122853785.6,0
39036788722892.8,-130431029818163.19,0
-36589231564390.4,-294878210686976.0,0
-8165113987071.999,-13809776957849.6,0
-75018151133184.0,-154644174707097.6,0
78331435705958.39,-286187871168102.4,0
-378685756538880.0,608532199741849.5,1
-114233246849433.6,-138058121661644.8,1
-25977588757299.2,-277789488762060.78,0
126973123126886.39,-181791758693171.2,1
-354800446839193.56,508094865997823.94,1
50090662585958.4,-182231620386816.0,0
-327652428323225.56,451249712188620.75,1
73245075387187.2,-226122615960371.2,1
-180376165993676.78,-190388674284748.78,0
-100318366505369.6,-259049435797913.6,1
56454852011622.4,-61687361175551.99,0
-94760981653094.39,-71217470819532.8,0
-530504206830796.75,443109910301900.75,1
-150438888341504.0,22633762311372.797,0
97591885194854.39,-91071106462515.19,0
-78923981809254.39,-209549434395033.6,1
-216980553256140.78,-243348156081766.38,0
-70386608557260.8,-275282368711884.78,0
60681318773555.195,-245189599821824.0,0
-125978601639116.8,-252091226390527.97,0
-124732264205516.8,-188201368236851.2,1
-243574792781824.0,499146180840652.75,1
-66645270934323.195,-190115965671833.6,0
62061326997913.59,-173297685757952.0,1
-78119402733568.0,-84603763163136.0,1
-55992705980825.59,-60618288450764.8,1
-119417669995724.8,-289250461351936.0,0
-110205730186854.39,-327697431527424.0,1
-23390518142566.4,-47255666242355.195,1
163535854239744.0,-131351094021324.8,0
130140728616550.39,-203552639995084.78,0
-99805057515520.0,-159977688583372.78,0
-16278565892915.2,-88150760226816.0,0
127063235231743.98,-103488085924249.6,1
-30093623269785.598,-249511997865983.97,1
